Date,Open,High,Low,Close,P_Open,Error,Pred Dir,Act Dir,Correct
2017-05-19,1878.99,1969.99,1874.99,1958,,,,,
2017-05-20,1958,2021,1914,2013.99,,,,,
2017-05-21,2013.99,2063.11,1961.52,2017.55,,,,,
2017-05-22,2017.55,2230.34,2008.75,2099.97,,,,,
2017-05-23,2099.97,2275,2088.45,2264.23,,,,,
2017-05-24,2264.23,2481.75,2264.23,2420.29,,,,,
2017-05-25,2420.29,2760.1,2221,2292.53,,,,,
2017-05-26,2292.53,2599.12,2060,2279.82,,,,,
2017-05-27,2279.82,2339.94,1850,2042,,,,,
2017-05-28,2042,2313.96,2041.48,2178.81,,,,,
2017-05-29,2178.81,2350,2110,2292.1,,,,,
2017-05-30,2292.1,2339.08,2160,2203.51,,,,,
2017-05-31,2203.51,2334,2154.28,2298.01,,,,,
2017-06-01,2298.01,2456.39,2296.81,2413.63,,,,,
2017-06-02,2413.63,2489,2370.03,2488.94,,,,,
2017-06-03,2488.94,2584.34,2445,2540.94,,,,,
2017-06-04,2540.94,2569,2460,2530.27,,,,,
2017-06-05,2530.27,2699.35,2525.28,2698,,,,,
2017-06-06,2698,2933,2689.4,2880.74,,,,,
2017-06-07,2880.74,2893.28,2612.5,2683.03,,,,,
2017-06-08,2683.03,2815,2613.13,2806,,,,,
2017-06-09,2806,2868.23,2780.43,2822.32,,,,,
2017-06-10,2822.32,2912.98,2800,2899.99,,,,,
2017-06-11,2899.99,2967.46,2861.53,2954.22,,,,,
2017-06-12,2954.22,2980,2480.03,2667.06,,,,,
2017-06-13,2667.06,2783.62,2638.62,2703.02,,,,,
2017-06-14,2703.02,2801,2320,2450,,,,,
2017-06-15,2450,2516.2,2120,2424.91,,,,,
2017-06-16,2424.91,2540,2307.66,2484.68,,,,,
2017-06-17,2484.68,2674.4,2420.53,2630,,,,,
2017-06-18,2630,2665,2460.62,2516.98,,,,,
2017-06-19,2516.98,2598,2480.96,2598,,,,,
2017-06-20,2598,2783,2581,2740,,,,,
2017-06-21,2740,2789,2611,2657.04,,,,,
2017-06-22,2657.04,2740,2594.61,2713.48,,,,,
2017-06-23,2713.48,2745,2657.46,2685.05,,,,,
2017-06-24,2685.05,2724.96,2512.13,2557.66,,,,,
2017-06-25,2557.66,2635.72,2432,2502.03,,,,,
2017-06-26,2502.03,2550.03,2315.01,2421.22,,,,,
2017-06-27,2421.22,2565,2291,2565,,,,,
2017-06-28,2565,2593,2468.01,2559.9,,,,,
2017-06-29,2559.9,2594.78,2500.31,2541.59,,,,,
2017-06-30,2541.59,2564.58,2451,2465.49,,,,,
2017-07-01,2465.49,2517.11,2390,2412.41,,,,,
2017-07-02,2412.41,2528.72,2374.34,2504.37,,,,,
2017-07-03,2504.37,2595,2472.68,2550.47,,,,,
2017-07-04,2550.47,2639.47,2540.07,2596.12,,,,,
2017-07-05,2596.12,2623,2530.1,2602.9,,,,,
2017-07-06,2602.9,2614,2522,2600.39,,,,,
2017-07-07,2600.39,2605,2475,2501.46,,,,,
2017-07-08,2501.46,2555,2462,2550.07,,,,,
2017-07-09,2550.07,2564.65,2500.5,2502.28,,,,,
2017-07-10,2502.28,2527.88,2261.85,2323.45,,,,,
2017-07-11,2323.45,2399,2242.62,2305.98,,,,,
2017-07-12,2305.98,2408.84,2239.54,2388,,,,,
2017-07-13,2388,2425.16,2312.93,2339.99,,,,,
2017-07-14,2339.99,2357.84,2140,2213.37,,,,,
2017-07-15,2213.37,2219.99,1967.65,1970.51,,,,,
2017-07-16,1970.51,2044.44,1830,1917.63,,,,,
2017-07-17,1917.63,2229.97,1910.57,2226,,,,,
2017-07-18,2226,2392,2164,2303.71,,,,,
2017-07-19,2303.71,2402.5,2223,2265.21,,,,,
2017-07-20,2265.21,2938,2265.21,2875.03,,,,,
2017-07-21,2875.03,2887.45,2611.39,2670,,,,,
2017-07-22,2670,2882,2644.59,2832.71,,,,,
2017-07-23,2832.71,2855,2640,2749.02,,,,,
2017-07-24,2749.02,2800,2701,2759.98,,,,,
2017-07-25,2759.98,2775.79,2450,2564.82,,,,,
2017-07-26,2564.82,2608.96,2400,2524.99,,,,,
2017-07-27,2524.99,2695,2509.63,2666.33,,,,,
2017-07-28,2666.33,2825,2655.82,2777.01,,,,,
2017-07-29,2777.01,2785.65,2631.78,2680.56,,,,,
2017-07-30,2680.56,2774.45,2569.69,2742.37,,,,,
2017-07-31,2742.37,2889.99,2680.01,2855.81,,,,,
2017-08-01,2855.81,2929.17,2615,2731,,,,,
2017-08-02,2731,2760,2650,2703.51,,,,,
2017-08-03,2703.51,2807.44,2698.83,2793.37,,,,,
2017-08-04,2793.37,2877.52,2765.91,2855,,,,,
2017-08-05,2855,3339.66,2848.32,3263.62,,,,,
2017-08-06,3263.62,3296.51,3146.1,3222.75,,,,,
2017-08-07,3222.75,3430,3186,3387.55,,,,,
2017-08-08,3387.55,3490,3300,3412.41,,,,,
2017-08-09,3412.41,3423.1,3178.72,3342.99,,,,,
2017-08-10,3342.99,3448,3311.17,3413.03,,,,,
